time,xposition,yposition
23.394,254.0,44.0
23.434,241.0,52.0
23.473,233.0,61.0
23.513,225.0,70.0
23.553,218.0,86.0
23.592,213.0,99.0
23.634,209.0,114.0
23.674,206.0,129.0
23.712,204.0,143.0
23.752,205.0,154.0
23.792,205.0,159.0
23.832,206.0,160.0
23.87,206.0,160.0
23.913,206.0,160.0
23.952,207.0,158.0
23.992,207.0,158.0
24.032,207.0,157.0
24.071,207.0,157.0
24.113,207.0,160.0
24.15,207.0,167.0
24.19,207.0,177.0
24.23,208.0,187.0
24.272,206.0,198.0
24.312,202.0,208.0
24.351,197.0,215.0
24.39,190.0,221.0
24.43,181.0,223.0
24.472,174.0,224.0
24.512,170.0,225.0
24.553,167.0,226.0
24.592,166.0,226.0
24.634,166.0,226.0
24.672,166.0,226.0
24.712,166.0,225.0
24.752,166.0,225.0
24.792,166.0,225.0
24.832,166.0,225.0
24.872,166.0,225.0
24.912,166.0,225.0
24.952,165.0,227.0
24.992,158.0,227.0
25.032,145.0,229.0
25.074,134.0,230.0
25.111,123.0,232.0
25.153,115.0,231.0
25.193,104.0,231.0
25.233,96.0,231.0
25.273,87.0,233.0
25.313,80.0,234.0
25.352,73.0,237.0
25.394,64.0,242.0
25.433,56.0,249.0
25.473,50.0,255.0
25.514,44.0,261.0
25.555,42.0,268.0
25.593,40.0,278.0
25.635,39.0,285.0
25.673,37.0,292.0
25.711,36.0,297.0
25.753,37.0,302.0
25.795,37.0,306.0
25.834,37.0,310.0
25.874,38.0,314.0
25.914,41.0,318.0
25.954,50.0,325.0
25.994,58.0,331.0
26.035,69.0,338.0
26.075,79.0,342.0
26.114,86.0,348.0
26.154,93.0,352.0
26.194,96.0,355.0
26.234,96.0,358.0
26.274,97.0,364.0
26.314,98.0,370.0
26.354,98.0,374.0
26.394,97.0,377.0
26.434,96.0,380.0
26.474,95.0,383.0
26.515,95.0,384.0
26.554,96.0,385.0
26.594,97.0,386.0
26.634,95.0,389.0
26.674,99.0,400.0
26.714,114.0,417.0
26.754,123.0,421.0
26.794,129.0,423.0
26.836,137.0,423.0
26.874,141.0,424.0
26.914,144.0,425.0
26.954,144.0,425.0
26.995,143.0,425.0
27.032,143.0,425.0
27.074,143.0,425.0
27.114,142.0,425.0
27.152,142.0,425.0
27.194,143.0,425.0
27.234,146.0,425.0
27.274,154.0,425.0
27.314,166.0,427.0
27.354,175.0,427.0
27.394,185.0,428.0
27.434,192.0,424.0
27.475,200.0,419.0
27.512,203.0,409.0
27.554,204.0,401.0
27.595,204.0,395.0
27.636,203.0,392.0
27.675,204.0,392.0
27.716,204.0,392.0
27.754,204.0,393.0
27.793,204.0,393.0
27.833,204.0,393.0
27.873,204.0,393.0
27.914,204.0,393.0
27.96,204.0,393.0
27.994,204.0,393.0
28.031,204.0,392.0
28.073,205.0,390.0
28.114,208.0,384.0
28.155,211.0,373.0
28.195,214.0,363.0
28.235,218.0,354.0
28.277,225.0,343.0
28.315,233.0,333.0
28.354,245.0,325.0
28.394,257.0,319.0
28.437,269.0,315.0
28.475,283.0,312.0
28.515,296.0,311.0
28.555,310.0,311.0
28.596,326.0,314.0
28.637,339.0,317.0
28.673,349.0,320.0
28.715,358.0,322.0
28.755,365.0,323.0
28.796,370.0,324.0
28.835,376.0,324.0
28.875,384.0,324.0
28.917,391.0,325.0
28.956,400.0,327.0
28.996,414.0,338.0
29.036,416.0,349.0
29.074,415.0,363.0
29.116,415.0,363.0
29.157,417.0,360.0
29.196,418.0,359.0
29.236,418.0,360.0
29.275,418.0,359.0
29.316,417.0,360.0
29.355,417.0,359.0
29.396,417.0,360.0
29.437,417.0,360.0
29.475,417.0,360.0
29.515,417.0,359.0
29.555,417.0,359.0
29.595,417.0,360.0
29.633,417.0,363.0
29.675,415.0,373.0
29.715,414.0,384.0
29.756,413.0,394.0
29.795,405.0,410.0
29.836,397.0,418.0
29.878,389.0,422.0
29.915,380.0,422.0
29.957,373.0,422.0
29.994,370.0,422.0
30.037,368.0,423.0
30.075,368.0,424.0
30.116,368.0,424.0
30.155,368.0,424.0
30.196,368.0,424.0
30.237,368.0,424.0
30.276,368.0,424.0
30.315,368.0,424.0
30.357,368.0,424.0
30.396,367.0,424.0
30.436,363.0,424.0
30.477,352.0,423.0
30.516,336.0,424.0
30.554,321.0,426.0
30.594,306.0,427.0
30.636,293.0,426.0
30.676,285.0,422.0
30.716,280.0,416.0
30.756,279.0,410.0
30.797,283.0,403.0
30.838,287.0,396.0
30.874,289.0,391.0
30.917,293.0,388.0
30.956,296.0,386.0
30.996,298.0,384.0
31.037,298.0,383.0
31.075,298.0,384.0
