time,xposition,yposition,framenumber
22.247,200.0,105.0,515.0
22.29,196.0,101.0,516.0
22.328,193.0,97.0,517.0
22.368,190.0,95.0,518.0
22.408,183.0,93.0,519.0
22.447,175.0,91.0,520.0
22.487,170.0,92.0,521.0
22.528,165.0,93.0,522.0
22.565,159.0,95.0,523.0
22.607,155.0,97.0,524.0
22.646,150.0,98.0,525.0
22.687,145.0,99.0,526.0
22.727,138.0,100.0,527.0
22.769,133.0,101.0,528.0
22.807,130.0,103.0,529.0
22.847,127.0,104.0,530.0
22.887,123.0,105.0,531.0
22.928,116.0,107.0,532.0
22.967,109.0,110.0,533.0
23.008,102.0,114.0,534.0
23.047,94.0,119.0,535.0
23.088,89.0,123.0,536.0
23.128,86.0,127.0,537.0
23.167,83.0,131.0,538.0
23.208,83.0,137.0,539.0
23.248,83.0,142.0,540.0
23.288,83.0,146.0,541.0
23.328,85.0,150.0,542.0
23.367,85.0,153.0,543.0
23.408,85.0,155.0,544.0
23.447,85.0,155.0,545.0
23.49,85.0,154.0,546.0
23.527,85.0,154.0,547.0
23.567,85.0,154.0,548.0
23.608,85.0,154.0,549.0
23.647,85.0,154.0,550.0
23.688,85.0,154.0,551.0
23.73,85.0,154.0,552.0
23.767,85.0,154.0,553.0
23.807,85.0,154.0,554.0
23.847,84.0,154.0,555.0
23.887,85.0,154.0,556.0
23.927,85.0,157.0,557.0
23.966,86.0,165.0,558.0
24.007,86.0,174.0,559.0
24.047,88.0,186.0,560.0
24.086,93.0,197.0,561.0
24.126,98.0,206.0,562.0
24.166,102.0,213.0,563.0
24.207,106.0,216.0,564.0
24.246,109.0,220.0,565.0
24.287,113.0,223.0,566.0
24.328,117.0,225.0,567.0
24.367,120.0,226.0,568.0
24.407,123.0,227.0,569.0
24.447,126.0,227.0,570.0
24.487,128.0,227.0,571.0
24.528,130.0,225.0,572.0
24.568,132.0,224.0,573.0
24.609,133.0,225.0,574.0
24.648,134.0,226.0,575.0
24.688,134.0,226.0,576.0
24.729,134.0,225.0,577.0
24.769,135.0,225.0,578.0
24.808,135.0,226.0,579.0
24.848,136.0,226.0,580.0
24.889,135.0,225.0,581.0
24.929,135.0,225.0,582.0
24.968,136.0,225.0,583.0
25.009,143.0,226.0,584.0
25.049,154.0,227.0,585.0
25.089,164.0,228.0,586.0
25.128,174.0,227.0,587.0
25.17,184.0,226.0,588.0
25.208,193.0,223.0,589.0
25.249,205.0,220.0,590.0
25.289,216.0,219.0,591.0
25.33,226.0,218.0,592.0
25.371,237.0,220.0,593.0
25.408,248.0,225.0,594.0
25.448,257.0,229.0,595.0
25.488,268.0,233.0,596.0
25.534,275.0,238.0,597.0
25.568,282.0,243.0,598.0
25.608,291.0,247.0,599.0
25.65,299.0,250.0,600.0
25.689,306.0,254.0,601.0
25.73,314.0,257.0,602.0
25.769,323.0,259.0,603.0
25.809,331.0,262.0,604.0
25.848,338.0,264.0,605.0
25.889,345.0,267.0,606.0
25.929,352.0,269.0,607.0
25.968,360.0,271.0,608.0
26.006,366.0,274.0,609.0
26.049,372.0,276.0,610.0
26.088,377.0,275.0,611.0
26.13,383.0,272.0,612.0
26.168,389.0,270.0,613.0
26.21,393.0,269.0,614.0
26.249,399.0,265.0,615.0
26.289,405.0,259.0,616.0
26.328,410.0,253.0,617.0
26.37,414.0,248.0,618.0
26.409,417.0,243.0,619.0
26.449,418.0,235.0,620.0
26.489,419.0,227.0,621.0
26.531,420.0,219.0,622.0
26.57,421.0,215.0,623.0
26.611,423.0,209.0,624.0
26.65,425.0,204.0,625.0
26.691,425.0,199.0,626.0
26.731,424.0,194.0,627.0
26.77,425.0,190.0,628.0
26.809,424.0,188.0,629.0
26.85,425.0,185.0,630.0
26.888,426.0,180.0,631.0
26.93,427.0,178.0,632.0
26.97,426.0,178.0,633.0
27.009,426.0,178.0,634.0
27.049,426.0,178.0,635.0
27.092,427.0,178.0,636.0
27.13,426.0,179.0,637.0
27.17,427.0,179.0,638.0
27.21,427.0,178.0,639.0
27.249,427.0,178.0,640.0
27.29,427.0,178.0,641.0
27.329,425.0,169.0,642.0
27.37,424.0,157.0,643.0
27.409,425.0,145.0,644.0
27.449,427.0,138.0,645.0
27.49,427.0,133.0,646.0
27.53,425.0,129.0,647.0
27.572,424.0,123.0,648.0
27.611,422.0,117.0,649.0
27.648,419.0,113.0,650.0
27.691,414.0,111.0,651.0
27.728,411.0,110.0,652.0
27.77,408.0,108.0,653.0
27.81,406.0,108.0,654.0
27.848,404.0,108.0,655.0
27.89,402.0,108.0,656.0
27.93,398.0,107.0,657.0
27.968,394.0,107.0,658.0
28.008,391.0,106.0,659.0
28.051,387.0,105.0,660.0
28.091,384.0,102.0,661.0
28.13,384.0,99.0,662.0
28.17,383.0,96.0,663.0
28.211,381.0,93.0,664.0
28.251,379.0,89.0,665.0
28.29,379.0,83.0,666.0
28.328,379.0,76.0,667.0
28.37,378.0,71.0,668.0
